Year,Date,Attendance,Location,Opponent,Team,Venue Capacity,
2022,24-Jun,2697,Gateway Center Arena,New York Liberty,Atlanta Dreams,3209,
2022,12-Aug,3138,Gateway Center Arena,New York Liberty,Atlanta Dreams,3209,
2021,5-Sep,2386,College Park Center,Dallas Wings,Atlanta Dreams,7700,
2021,2-Sep,1975,College Park Center,Dallas Wings,Atlanta Dreams,7700,
2021,8-Sep,1215,Gateway Center Arena,Phoenix Mercury,Atlanta Dreams,3209,
2021,10-Sep,2320,Entertainment and Sports Arena,Washington Mystics,Atlanta Dreams,4200,
2021,17-Jun,2100,Entertainment and Sports Arena,Washington Mystics,Atlanta Dreams,4200,
2021,14-Sep,1208,Gateway Center Arena,Indiana Fever,Atlanta Dreams,3209,
2021,11-Jul,1897,Gateway Center Arena,Indiana Fever,Atlanta Dreams,3209,
2021,26-Aug,2182,Gateway Center Arena,Las Vegas Aces,Atlanta Dreams,3209,
2021,4-Jul,2705,Michelob ULTRA Arena,Las Vegas Aces,Atlanta Dreams,12000,
2021,16-Jul,2537,Gateway Center Arena,Los Angeles Spark,Atlanta Dreams,3209,
2021,25-May,1004,Wintrust Arena,Chicago Sky,Atlanta Dreams,10387,
2021,2-Jul,3011,Angel of the Winds Arena,Seattle Storm,Atlanta Dreams,10000,
2021,19-Sep,4724,Mohegan Sun Arena,Conneticut Sun,Atlanta Dreams,10211,
2021,9-Jul,2286,Mohegan Sun Arena,Conneticut Sun,Atlanta Dreams,10211,
2021,5-Sep,2386,College Park Center,Dallas Wings,Atlanta Dreams,7700,
2021,29-Jun,1131,Gateway Center Arena,New York Liberty,Atlanta Dreams,3209,
2021,26-Jun,1605,Gateway Center Arena,New York Liberty,Atlanta Dreams,3209,
2021,19-Sep,4724,Mohegan Sun Arena,Conneticut Sun,Atlanta Dreams,10211,
2021,29-Jun,1131,Gateway Center Arena,New York Liberty,Atlanta Dreams,3209,
2021,23-Jun,907,Gateway Center Arena,Minnesota Lynx,Atlanta Dreams,3209,
2021,6-Jun,2021,Target Center,Minnesota Lynx,Atlanta Dreams,18798,
2021,23-May,1954,Michelob ULTRA Arena,Conneticut Sun,Las Vegas Aces,12000,
2021,7-Jul,3013,Michelob ULTRA Arena,Phoenix Mercury,Las Vegas Aces,12000,
2021,19-Sep,9724,Footprint Center,Phoenix Mercury,Las Vegas Aces,17071,
2021,23-May,1954,Michelob ULTRA Arena,Conneticut Sun,Las Vegas Aces,12000,
2021,24-Aug,4012,Mohegan Sun Arena,Conneticut Sun,Las Vegas Aces,10211,
2021,9-Sep,1695,STAPLES Center,Conneticut Sun,Los Angeles Sparks,14050,
2021,7-Jul,2730,Angel of the Winds Arena,Seattle Storm,Los Angeles Sparks,10000,
2021,12-Sep,4181,STAPLES Center,Seattle Storm,Los Angeles Sparks,14050,
2021,19-Aug,1885,STAPLES Center,Dallas Wings,Los Angeles Sparks,14050,
2021,16-Sep,2537,Gateway Center Arena,Dallas Wings,Los Angeles Sparks,3209,
2021,1-Jun,1372,College Park Center,Dallas Wings,Los Angeles Sparks,7700,
2021,11-Jul,892,Los Angeles Convention Center,Minnesota Lynx,Los Angeles Sparks,19050,
2021,28-Aug,4434,Mohegan Sun Arena,Conneticut Sun,Los Angeles Sparks,10211,
2021,15-Aug,2029,STAPLES Center,Indiana Fever,Los Angeles Sparks,14050,
2021,26-Aug,3702,Mohegan Sun Arena,Conneticut Sun,Los Angeles Sparks,10211,
