Year,Teams,Player,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,
2020-21,Phoenix Suns,,,,,,,,,,,,,,,,,,,,
2020-21,Phoenix Suns,,,,,,,,,,,,,,,,,,,,
2020-21,Phoenix Suns,,,,,,,,,,,,,,,,,,,,
2020-21,Phoenix Suns,,,,,,,,,,,,,,,,,,,,
2021-22,Atlanta Hawks,,,,,,,,,,,,,,,,,,,,
2021-22,Atlanta Hawks,,,,,,,,,,,,,,,,,,,,
2021-22,Atlanta Hawks,,,,,,,,,,,,,,,,,,,,
2021-22,Atlanta Hawks,,,,,,,,,,,,,,,,,,,,
2021-22,Atlanta Hawks,,,,,,,,,,,,,,,,,,,,
2021-22,Chicago Bulls,,,,,,,,,,,,,,,,,,,,
2021-22,Chicago Bulls,,,,,,,,,,,,,,,,,,,,
2021-22,Chicago Bulls,,,,,,,,,,,,,,,,,,,,
2021-22,Chicago Bulls,,,,,,,,,,,,,,,,,,,,
2021-22,Chicago Bulls,,,,,,,,,,,,,,,,,,,,
2021-22,Dallas Mavericks,,,,,,,,,,,,,,,,,,,,
2021-22,Dallas Mavericks,,,,,,,,,,,,,,,,,,,,
2021-22,Dallas Mavericks,,,,,,,,,,,,,,,,,,,,
2021-22,Dallas Mavericks,,,,,,,,,,,,,,,,,,,,
2021-22,Dallas Mavericks,,,,,,,,,,,,,,,,,,,,
2021-22,Golden State Warriors,,,,,,,,,,,,,,,,,,,,
2021-22,Golden State Warriors,,,,,,,,,,,,,,,,,,,,
2021-22,Golden State Warriors,,,,,,,,,,,,,,,,,,,,
2021-22,Golden State Warriors,,,,,,,,,,,,,,,,,,,,
2021-22,Golden State Warriors,,,,,,,,,,,,,,,,,,,,
2021-22,Indiana Pacers,,,,,,,,,,,,,,,,,,,,
2021-22,Indiana Pacers,,,,,,,,,,,,,,,,,,,,
2021-22,Indiana Pacers,,,,,,,,,,,,,,,,,,,,
2021-22,Indiana Pacers,,,,,,,,,,,,,,,,,,,,
2021-22,Indiana Pacers,,,,,,,,,,,,,,,,,,,,
2021-22,Los Angeles Lakers,,,,,,,,,,,,,,,,,,,,
2021-22,Los Angeles Lakers,,,,,,,,,,,,,,,,,,,,
2021-22,Los Angeles Lakers,,,,,,,,,,,,,,,,,,,,
2021-22,Los Angeles Lakers,,,,,,,,,,,,,,,,,,,,
2021-22,Los Angeles Lakers,,,,,,,,,,,,,,,,,,,,
2021-22,Minnesota Timberwolves,,,,,,,,,,,,,,,,,,,,
2021-22,Minnesota Timberwolves,,,,,,,,,,,,,,,,,,,,
2021-22,Minnesota Timberwolves,,,,,,,,,,,,,,,,,,,,
2021-22,Minnesota Timberwolves,,,,,,,,,,,,,,,,,,,,
2021-22,Minnesota Timberwolves,,,,,,,,,,,,,,,,,,,,
2021-22,New York Knicks,,,,,,,,,,,,,,,,,,,,
2021-22,New York Knicks,,,,,,,,,,,,,,,,,,,,
2021-22,New York Knicks,,,,,,,,,,,,,,,,,,,,
2021-22,New York Knicks,,,,,,,,,,,,,,,,,,,,
2021-22,New York Knicks,,,,,,,,,,,,,,,,,,,,
2021-22,Oklahoma City Thunder,,,,,,,,,,,,,,,,,,,,
2021-22,Oklahoma City Thunder,,,,,,,,,,,,,,,,,,,,
2021-22,Oklahoma City Thunder,,,,,,,,,,,,,,,,,,,,
2021-22,Oklahoma City Thunder,,,,,,,,,,,,,,,,,,,,
2021-22,Oklahoma City Thunder,,,,,,,,,,,,,,,,,,,,
2021-22,Phoenix Suns,,,,,,,,,,,,,,,,,,,,
2021-22,Phoenix Suns,,,,,,,,,,,,,,,,,,,,
2021-22,Phoenix Suns,,,,,,,,,,,,,,,,,,,,
2021-22,Phoenix Suns,,,,,,,,,,,,,,,,,,,,
2021-22,Phoenix Suns,,,,,,,,,,,,,,,,,,,,
