Season,Team ,Name, Salary , Incentative 
2021,Indiana Pacers,T.J. Warren,"$12,690,000.00 ",
2021,LA Lakers,Russell Westbrook,"$44,211,146.00 ",
2021,LA Lakers,LeBron James,"$41,180,544.00 ",
2021,LA Lakers,Anthony Davis,"$35,361,360.00 ",
2021,LA Lakers,Talen Horton-Tucker,"$9,500,000.00 ",
2021,LA Lakers,Kendrick Nunn,"$5,000,000.00 ",
2021,Min Timberwolves,Karl-Anthony Towns,"$31,650,600.00 ",
2021,Min Timberwolves,D'Angelo Russell,"$30,013,500.00 ",
2021,Min Timberwolves,Malik Beasley,"$14,391,964.00 ",
2021,Min Timberwolves,Patrick Beverly,"$14,320,987.00 ",
2021,Min Timberwolves,Taurean Prince,"$13,000,000.00 ",
2021,New York Knicks,Julius Randle,"$19,800,000.00 ",
2021,New York Knicks,Evan Fournier,"$17,142,857.00 ",
2021,New York Knicks,Derrick Rose,"$13,445,120.00 ",
2021,New York Knicks,Alec Burks,"$9,536,000.00 ",
2021,New York Knicks,Nerlens Noel,"$8,800,000.00 ",
2021,OK City Thunder,Derrick Favors,"$9,720,900.00 ",
2021,OK City Thunder,Josh Giddey,"$5,988,000.00 ",
2021,OK City Thunder,Shai Gilgeous-Alexander,"$5,495,532.00 ",
2021,OK City Thunder,Mike Muscala,"$3,500,000.00 ",
2021,OK City Thunder,Aleksej Pokusevski,"$3,113,160.00 ",
2021,Phoenix Suns,Devin Booker,"$31,650,600.00 ",
2021,Phoenix Suns,Chris Paul," $30,800,000.00 ",
2021,Phoenix Suns,Deandre Ayton,"$12,632,950.00 ",
2021,Phoenix Suns,Jae Crowder,"$9,720,900.00 ",
2021,Phoenix Suns,Dario Saric,"$8,510,000.00 ",
2020,Atlanta Hawk,Danilo Gallinari,"$19,500,000.00 ",
2020,Atlanta Hawk,Bogdan Bogdanovic,"$18,000,000.00 ",
2020,Atlanta Hawk,Clint Capela,"$16,000,000.00 ",
2020,Atlanta Hawk,Tony Snell,"$12,178,571.00 ",
2020,Atlanta Hawk,Louis Williams,"$8,000,000.00 ",
2020,Chicago Bulls,Nikola Vucevic,"$26,000,000.00 ",
2020,Chicago Bulls,Zach LaVine,"$19,500,000.00 ",
2020,Chicago Bulls,Thaddeus Young,"$13,545,000.00 ",
2020,Chicago Bulls,Tomas Satoransky,"$10,000,000.00 ",
2020,Chicago Bulls,Al-Farouq Aminu,"$9,720,900.00 ",
2020,Dallas Mavericks,Kristaps Porzingis,"$29,467,800.00 ",
2020,Dallas Mavericks,Tim Hardaway Jr.,"$18,975,000.00 ",
2020,Dallas Mavericks,J.J. Redick,"$13,013,700.00 ",
2020,Dallas Mavericks,Dwight Powell,"$11,080,125.00 ",
2020,Dallas Mavericks,Josh Richardson,"$10,865,952.00 ",
2020,Golden State Warriors,Stephen Curry,"$43,006,362.00 ",
2020,Golden State Warriors,Klay Thompson,"$35,361,360.00 ",
2020,Golden State Warriors,Andrew Wiggins,"$29,542,010.00 ",
2020,Golden State Warriors,Draymond Green,"$22,246,956.00 ",
2020,Golden State Warriors,Kelly Oubre Jr.,"$14,375,000.00 ",
2020,Indiana Pacers,Malcolm Brogdon,"$20,700,000.00 ",
2020,Indiana Pacers,Domantas Sabonis,"$18,500,000.00 ",
2020,Indiana Pacers,Myles Turner,"$17,500,000.00 ",
2020,Indiana Pacers,Caris LeVert,"$16,203,704.00 ",
2020,Indiana Pacers,T.J. Warren,"$11,750,000.00 ",
2020,LA Lakers,LeBron James,"$39,219,566.00 ",
2020,LA Lakers,Anthony Davis,"$32,742,000.00 ",
2020,LA Lakers,Dennis Schroder,"$15,500,000.00 ",
2020,LA Lakers,Kentavious Caldwell-Pope,"$12,073,020.00 ",
2020,LA Lakers,Montrezl Harrell,"$9,258,000.00 ",
2020,Min Timberwolves,Karl-Anthony Towns,"$29,467,800.00 ",
2020,Min Timberwolves,D'Angelo Russell,"$28,649,250.00 ",
2020,Min Timberwolves,Ricky Rubio,"$17,000,000.00 ",
2020,Min Timberwolves,Malik Beasley,"$13,325,895.00 ",
2020,Min Timberwolves,Anthony Edwards,"$9,757,440.00 ",
2020,New York Knicks,Julius Randle,"$18,900,000.00 ",
2020,New York Knicks,R.J. Barrett,"$8,231,760.00 ",
2020,New York Knicks,Derrick Rose,"$7,682,927.00 ",
2020,New York Knicks,Frank Ntilikina,"$6,176,578.00 ",
2020,New York Knicks,Alec Burks,"$6,000,000.00 ",
2020,OK City Thunder,Al Horford,"$27,500,000.00 ",
2020,OK City Thunder,Shai Gilgeous-Alexander,"$4,141,320.00 ",
2020,OK City Thunder,Gabriel Deck,"$3,870,370.00 ",
2020,OK City Thunder,Tony Bradley,"$3,542,060.00 ",
2020,OK City Thunder,Aleksej Pokusevski,"$2,964,840.00 ",
2020,Phoenix Suns,Chris Paul,"$41,358,814.00 ",
2020,Phoenix Suns,Devin Booker,"$29,467,800.00 ",
2020,Phoenix Suns,Deandre Ayton,"$10,018,200.00 ",
2020,Phoenix Suns,Jae Crowder,"$9,258,000.00 ",
2020,Phoenix Suns,Dario Saric,"$9,250,000.00 ",
2019,Atlanta Hawk,Chandler Parson,"$25,102,512.00 ",
2019,Atlanta Hawk,Jeff Teague,"$19,000,000.00 ",
2019,Atlanta Hawk,Evan Turner,"$18,606,556.00 ",
2019,Atlanta Hawk,Dewayne Dedmon,"$13,333,334.00 ",
2019,Atlanta Hawk,De'Andre Hunter,"$7,068,360.00 ",
2019,Chicago Bulls,Otto Porter,"$27,250,575.00 ",
2019,Chicago Bulls,Zach LaVine,"$19,500,000.00 ",
2019,Chicago Bulls,Thaddeus Young,"$12,900,000.00 ",
2019,Chicago Bulls,Omer Asik ,"$11,286,516.00 ",
2019,Chicago Bulls,Tomas Satoransky,"$10,000,000.00 ",
2019,Dallas Mavericks,Kristaps Porzingis,"$27,285,000.00 ",
2019,Dallas Mavericks,Tim Hardaway Jr.,"$20,025,127.00 ",
2019,Dallas Mavericks,Courtney Lee,"$12,759,670.00 ",
2019,Dallas Mavericks,Zach Randolph,"$11,692,308.00 ",
2019,Dallas Mavericks,Dwight Powell,"$10,259,375.00 ",
2019,Golden State Warriors,Stephen Curry,"$40,231,758.00 ",
2019,Golden State Warriors,Klay Thompson,"$32,742,000.00 ",
2019,Golden State Warriors,Andrew Wiggins,"$27,504,630.00 ",
2019,Golden State Warriors,Draymond Green,"$18,539,130.00 ",
2019,Golden State Warriors,Kevon Looney,"$4,464,226.00 ",
2019,Indiana Pacers,Victor Oladipo,"$21,000,000.00 ",
2019,Indiana Pacers,Malcolm Brogdon,"$20,000,000.00 ",
2019,Indiana Pacers,Myles Turner,"$18,000,000.00 ",
2019,Indiana Pacers,Tyreke Evans,"$12,400,000.00 ",
2019,Indiana Pacers,T.J. Warren,"$10,810,000.00 ",
2019,LA Lakers,LeBron James,"$37,436,858.00 ",
2019,LA Lakers,Anthony Davis,"$27,093,018.00 ",
2019,LA Lakers,Danny Green,"$14,634,146.00 ",
2019,LA Lakers,Darren Collison,"$10,000,000.00 ",
2019,LA Lakers,Kentavious Caldwell-Pope,"$8,089,282.00 ",
2019,Min Timberwolves,Karl-Anthony Towns,"$27,285,000.00 ",
2019,Min Timberwolves,D'Angelo Russell,"$27,285,000.00 ",
2019,Min Timberwolves,Allen Crabbe,"$18,500,000.00 ",
2019,Min Timberwolves,James Johnson,"$15,349,400.00 ",
2019,Min Timberwolves,Jarrett Culver,"$5,813,640.00 ",
2019,New York Knicks,Julius Randle,"$18,000,000.00 ",
2019,New York Knicks,Bobby Portis,"$15,000,000.00 ",
2019,New York Knicks,Maurice Harkless,"$11,011,234.00 ",
2019,New York Knicks,Taj Gibson,"$9,000,000.00 ",
2019,New York Knicks,Elfrid Payton/ Wayne Ellington,"$8,000,000.00 ",
2019,OK City Thunder,Chris Paul,"$38,506,482.00 ",
2019,OK City Thunder,Steven Adams,"$25,842,697.00 ",
2019,OK City Thunder,Danilo Gallinari,"$22,615,559.00 ",
2019,OK City Thunder,Dennis Schroder,"$15,500,000.00 ",
2019,OK City Thunder,Andre Roberson,"$10,740,740.00 ",
2019,Phoenix Suns,Kevin Durant,"$38,199,000.00 ",
2019,Phoenix Suns,Devin Booker,"$27,285,000.00 ",
2019,Phoenix Suns,Ricky Rubio,"$16,200,000.00 ",
2019,Phoenix Suns,Kelly Oubre Jr.,"$15,625,000.00 ",
2019,Phoenix Suns,Deandre Ayton,"$9,562,920.00 ",
