Year,Team ,Player,Salary,Bonus
2021,Minnesota Lynx,Aerial Powers,"$190,550.00 ",
2021,Minnesota Lynx,Natalie Achonwa,"$164,500.00 ",
2021,Minnesota Lynx,Damiris Dantas,"$126,000.00 ",
2021,Minnesota Lynx,Sylvia Fowles,"$117,894.00 ",
2021,New York Liberty,Natasha Howard,"$215,000.00 ",
2021,New York Liberty,Betnijah Laney,"$209,550.00 ",
2021,New York Liberty,Sami Whitcomb,"$150,350.00 ",
2021,New York Liberty,Rebecca Allen,"$105,037.00 ",
2021,New York Liberty,Marine Johannes,"$70,040.00 ",
2021,Phoenix Mercury,Skylar Diggins-Smith,"$221,450.00 ",
2021,Phoenix Mercury,Brittney Griner,"$221,450.00 ",
2021,Phoenix Mercury,Diana Taurasi,"$221,450.00 ",
2021,Phoenix Mercury,Bria Hartley,"$190,550.00 ",
2021,Phoenix Mercury,Kia Vaughn,"$110,000.00 ",
2021,Seattle Storm,Sue Bird,"$221,450.00 ",
2021,Seattle Storm,Breanna Stewart,"$190,500.00 ",
2021,Seattle Storm,Jewell Loyd,"$121,500.00 ",
2021,Seattle Storm,Epiphanny Prince,"$115,000.00 ",
2021,Seattle Storm,Jordin Canada,"$70,040.00 ",
2020,Atlanta Dream,Courtney Williams,"$185,000.00 ",
2020,Atlanta Dream,Shekinna Stricklen,"$170,000.00 ",
2020,Atlanta Dream,Glory Johnson,"$165,000.00 ",
2020,Atlanta Dream,Tiffany Hayes,"$117,520.00 ",
2020,Atlanta Dream,Elizabeth Williams,"$117,000.00 ",
2020,Chicago Sky,Courtney Vandersloot,"$206,000.00 ",
2020,Chicago Sky,Allie Quigley,"$200,000.00 ",
2020,Chicago Sky,Stefanie Dolson,"$180,250.00 ",
2020,Chicago Sky,Kahleah Copper,"$165,000.00 ",
2020,Chicago Sky,Cheyenne Parker,"$110,000.00 ",
2020,Dallas Wings,Astou Ndour ,"$185,000.00 ",
2020,Dallas Wings,Moriah Jefferson,"$170,000.00 ",
